molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL378338,Nc1ncnc2c1nc(Sc1nc3cccc(Cl)c3s1)n2CCN1CCOCC1,active,447.9770000000003,3.155000000000001,1.0,10.0,6.6020599913279625
CHEMBL384763,CC(C)(C)NCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,active,433.9940000000002,4.210900000000002,2.0,9.0,6.853871964321762
CHEMBL215657,CC(C)(C)CNCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,active,448.02100000000013,4.458500000000003,2.0,9.0,7.455931955649724
CHEMBL215947,Nc1ncnc2c1nc(Sc1nc3cccc(Cl)c3s1)n2CCNC1CC1,active,417.9510000000002,3.5748000000000015,2.0,9.0,6.958607314841775
CHEMBL386780,CC(C)NCCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,active,433.9940000000002,4.210900000000002,2.0,9.0,6.769551078621726
CHEMBL211528,CC(C)(C)NCCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,active,448.02100000000013,4.601000000000003,2.0,9.0,6.823908740944319
CHEMBL386882,CCCCn1c(Sc2nc3cccc(Br)c3s2)nc2c(N)ncnc21,active,435.37600000000015,4.732000000000002,1.0,8.0,6.481486060122113
CHEMBL388822,COc1cc(Cn2cnc3cnc(N)nc32)c(Br)c(OC)c1OC,inactive,394.22900000000016,2.2451,1.0,8.0,4.301029995663981
CHEMBL228991,COc1cc(Cn2cnc3c(S)nc(N)nc32)c(Br)c(OC)c1OC,inactive,426.29600000000016,2.5338000000000003,2.0,9.0,4.0
CHEMBL388821,COc1cc(Cn2cnc3c(O)nc(N)nc32)c(Cl)c(OC)c1OC,active,365.77700000000016,1.8415999999999995,2.0,9.0,6.154901959985743
CHEMBL229797,Cc1cnc(Cn2cnc3c(Cl)nc(N)nc32)c(C)c1[S+](C)[O-],inactive,350.8350000000001,1.8594399999999998,1.0,7.0,5.0
CHEMBL229577,CSc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C,active,334.8360000000001,2.843940000000001,1.0,7.0,7.568636235841013
CHEMBL229576,Cc1cnc(Cn2cnc3c(Cl)nc(N)nc32)c(C)c1C,active,302.76900000000006,2.43046,1.0,6.0,7.376750709602099
CHEMBL389164,Cc1cnc(Cn2cnc3c(Cl)nc(N)nc32)c(C)c1I,active,414.63800000000003,2.7266400000000006,1.0,6.0,8.045757490560675
CHEMBL229943,Cc1cnc(Cn2cnc3c(Cl)nc(N)nc32)c(C)c1Br,active,367.63800000000003,2.8845400000000003,1.0,6.0,7.823908740944319
CHEMBL229891,Cc1cnc(Cn2cnc3c(Cl)nc(N)nc32)c(C)c1Cl,active,323.187,2.7754400000000006,1.0,6.0,7.455931955649724
CHEMBL388347,COc1c(C)c(Cl)nc(Cn2cnc3c(Cl)nc(N)nc32)c1C,active,353.2130000000001,2.78404,1.0,7.0,7.045757490560675
CHEMBL229839,COc1c(C)c[n+]([O-])c(Cn2cnc3c(Cl)nc(N)nc32)c1C,active,334.7670000000001,1.3690399999999998,1.0,7.0,7.096910013008056
CHEMBL375462,Cc1cnc(Cn2cnc3c(Cl)nc(N)nc32)c(C)c1O,inactive,304.74100000000004,1.8276399999999993,2.0,7.0,4.0
CHEMBL557165,COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C.Cl,active,355.2290000000001,2.5524400000000003,1.0,7.0,7.522878745280337
